softmax,label
1.2006491449927797e-13,0
1.660838824866888e-14,0
8.738744896165471e-15,0
7.114475363543572e-15,0
8.107400418600006e-15,0
1.4613529096129015e-14,0
1.3043833049265763e-14,0
1.0,0
1.0,0
1.0,0
2.9607122087327298e-08,0
1.978498858079547e-06,0
1.457223334000446e-06,0
0.3176000118255615,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999998807907104,1
0.9999936819076538,1
0.08434796333312988,1
0.13721811771392822,1
0.9993232488632202,1
0.9992682337760925,1
2.7040045097237453e-05,1
0.9669113755226135,1
0.9999843835830688,1
0.9997677206993103,1
0.9997537732124329,1
1.0,1
0.004552996251732111,1
0.007861651480197906,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999986886978149,1
0.9999997615814209,1
0.9999995231628418,1
0.9999998807907104,1
4.4214361878403e-06,1
0.8530287742614746,1
0.5046073794364929,1
0.02459818869829178,1
3.181902502547018e-05,1
1.7471921864853357e-06,1
3.824802661256399e-07,1
1.3336685356080125e-07,1
4.991775526264064e-08,1
5.146509352016437e-07,1
3.146232927520032e-07,1
1.0848233955584874e-07,1
4.685593069098104e-08,1
2.1029691321672317e-09,1
1.4473702236728059e-09,0
9.421865510006455e-10,0
2.3148594152644364e-09,0
1.7368011473450906e-09,0
1.2700845930524451e-09,0
3.836810313906369e-10,0
2.0905305264662388e-10,0
1.9240732618275302e-10,0
1.9615058590716217e-06,1
0.987591028213501,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999740123748779,0
0.9999923706054688,0
0.5910961031913757,0
0.000698627030942589,0
0.700673520565033,0
0.9988651275634766,0
0.9999990463256836,0
1.0,0
1.0,0
2.867265314066003e-10,0
7.10991820973561e-11,0
2.2747681072132764e-08,0
4.2607711803199777e-10,0
